id,a_volume,b_volume,c_volume,d_volume,from_a_volume0,from_a_volume1,from_a_volume2,from_b_volume0,from_b_volume1,from_b_volume2,from_c_volume0,from_c_volume1,from_c_volume2,from_d_volume0,from_d_volume1,from_d_volume2
399,8,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,86,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0
402,27,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
403,147,147,0,0,0,0,0,0,147,0,0,0,0,0,0,0
404,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0
405,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,369,342,0,0,0,17,0,0,321,0,0,0,0,0,0,0
407,571,571,0,0,0,0,0,0,571,0,0,0,0,0,0,0
408,78,78,0,0,0,0,0,0,78,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,11,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0
411,3,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
412,138,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
413,824,380,0,0,0,279,0,0,2,0,0,0,0,0,0,0
414,11,14,0,0,0,0,0,0,11,0,0,0,0,0,0,0
415,303,898,0,0,0,45,0,0,258,0,0,0,0,0,0,0
416,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,486,485,0,0,0,145,0,0,340,0,0,0,0,0,0,0
418,598,474,0,0,0,221,0,0,253,0,0,0,0,0,0,0
419,433,725,0,0,0,22,0,0,411,0,0,0,0,0,0,0
420,334,334,0,0,0,0,0,0,334,0,0,0,0,0,0,0
421,38,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0
422,11,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,26,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,101,101,0,0,0,101,0,0,0,0,0,0,0,0,0,0
487,107,132,0,0,0,0,0,0,107,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
